code,value
31551,0.386
31552,0.353
31553,0.34
31554,0.284
31555,0.249
32111,0.814
32112,0.781
32113,0.768
32114,0.634
32115,0.599
32121,0.772
32122,0.739
32123,0.726
32124,0.592
32125,0.557
32131,0.761
32132,0.728
32133,0.715
32134,0.581
32135,0.546
32141,0.57
32142,0.537
32143,0.524
32144,0.468
32145,0.433
32151,0.529
32152,0.496
32153,0.483
32154,0.427
32155,0.392
32211,0.793
32212,0.76
32213,0.747
32214,0.613
32215,0.578
32221,0.751
32222,0.718
32223,0.705
32224,0.571
32225,0.536
32231,0.74
32232,0.707
32233,0.694
32234,0.56
32235,0.525
32241,0.549
32242,0.516
32243,0.503
32244,0.447
32245,0.412
32251,0.508
32252,0.475
32253,0.462
32254,0.406
32255,0.371
32311,0.763
32312,0.73
32313,0.717
32314,0.583
32315,0.548
32321,0.721
32322,0.688
32323,0.675
32324,0.541
32325,0.506
32331,0.71
32332,0.677
32333,0.664
32334,0.53
32335,0.495
32341,0.519
32342,0.486
32343,0.473
32344,0.417
32345,0.382
32351,0.478
32352,0.445
32353,0.432
32354,0.376
32355,0.341
32411,0.636
32412,0.603
32413,0.59
32414,0.534
32415,0.499
32421,0.594
32422,0.561
32423,0.548
32424,0.492
32425,0.457
32431,0.583
32432,0.55
32433,0.537
32434,0.481
32435,0.446
32441,0.47
32442,0.437
32443,0.424
32444,0.368
32445,0.333
32451,0.429
32452,0.396
32453,0.383
32454,0.327
32455,0.292
32511,0.561
32512,0.528
32513,0.515
32514,0.459
32515,0.424
32521,0.519
32522,0.486
32523,0.473
32524,0.417
32525,0.382
32531,0.508
32532,0.475
32533,0.462
32534,0.406
32535,0.371
32541,0.395
32542,0.362
32543,0.349
32544,0.293
32545,0.258
32551,0.354
32552,0.321
32553,0.308
32554,0.252
32555,0.217
33111,0.796
33112,0.763
33113,0.75
33114,0.616
33115,0.581
33121,0.754
33122,0.721
33123,0.708
33124,0.574
33125,0.539
33131,0.743
33132,0.71
33133,0.697
33134,0.563
33135,0.528
33141,0.552
33142,0.519
33143,0.506
33144,0.45
33145,0.415
33151,0.511
33152,0.478
33153,0.465
33154,0.409
33155,0.374
33211,0.775
33212,0.742
33213,0.729
33214,0.595
33215,0.56
33221,0.733
33222,0.7
33223,0.687
33224,0.553
33225,0.518
33231,0.722
33232,0.689
33233,0.676
33234,0.542
33235,0.507
33241,0.531
33242,0.498
33243,0.485
33244,0.429
33245,0.394
33251,0.49
33252,0.457
33253,0.444
33254,0.388
33255,0.353
33311,0.745
33312,0.712
33313,0.699
33314,0.565
33315,0.53
33321,0.703
33322,0.67
33323,0.657
33324,0.523
33325,0.488
33331,0.692
33332,0.659
33333,0.646
33334,0.512
33335,0.477
33341,0.501
33342,0.468
33343,0.455
33344,0.399
33345,0.364
33351,0.46
33352,0.427
33353,0.414
33354,0.358
33355,0.323
33411,0.618
33412,0.585
33413,0.572
33414,0.516
33415,0.481
33421,0.576
33422,0.543
33423,0.53
33424,0.474
33425,0.439
33431,0.565
33432,0.532
33433,0.519
33434,0.463
33435,0.428
33441,0.452
33442,0.419
33443,0.406
33444,0.35
33445,0.315
33451,0.411
33452,0.378
33453,0.365
33454,0.309
33455,0.274
33511,0.543
33512,0.51
33513,0.497
33514,0.441
33515,0.406
33521,0.501
33522,0.468
33523,0.455
33524,0.399
33525,0.364
33531,0.49
33532,0.457
33533,0.444
33534,0.388
33535,0.353
33541,0.377
33542,0.344
33543,0.331
33544,0.275
33545,0.24
33551,0.336
33552,0.303
33553,0.29
33554,0.234
33555,0.199
34111,0.69
34112,0.657
34113,0.644
34114,0.588
34115,0.553
34121,0.648
34122,0.615
34123,0.602
34124,0.546
34125,0.511
34131,0.637
34132,0.604
34133,0.591
34134,0.535
34135,0.5
34141,0.524
34142,0.491
34143,0.478
34144,0.422
34145,0.387
34151,0.483
34152,0.45
34153,0.437
34154,0.381
34155,0.346
34211,0.669
34212,0.636
34213,0.623
34214,0.567
34215,0.532
34221,0.627
34222,0.594
34223,0.581
34224,0.525
34225,0.49
34231,0.616
34232,0.583
34233,0.57
34234,0.514
34235,0.479
34241,0.503
34242,0.47
34243,0.457
34244,0.401
34245,0.366
34251,0.462
34252,0.429
34253,0.416
34254,0.36
34255,0.325
34311,0.639
34312,0.606
34313,0.593
34314,0.537
34315,0.502
34321,0.597
34322,0.564
34323,0.551
34324,0.495
34325,0.46
34331,0.586
34332,0.553
34333,0.54
34334,0.484
34335,0.449
34341,0.473
34342,0.44
34343,0.427
34344,0.371
34345,0.336
34351,0.432
34352,0.399
34353,0.386
34354,0.33
34355,0.295
34411,0.59
34412,0.557
34413,0.544
34414,0.488
34415,0.453
34421,0.548
34422,0.515
34423,0.502
34424,0.446
34425,0.411
34431,0.537
34432,0.504
34433,0.491
34434,0.435
34435,0.4
34441,0.424
34442,0.391
34443,0.378
34444,0.322
34445,0.287
34451,0.383
34452,0.35
34453,0.337
34454,0.281
34455,0.246
34511,0.515
34512,0.482
34513,0.469
34514,0.413
34515,0.378
34521,0.473
34522,0.44
34523,0.427
34524,0.371
34525,0.336
34531,0.462
34532,0.429
34533,0.416
34534,0.36
34535,0.325
34541,0.349
34542,0.316
34543,0.303
34544,0.247
34545,0.212
34551,0.308
34552,0.275
34553,0.262
34554,0.206
34555,0.171
35111,0.646
35112,0.613
35113,0.6
35114,0.544
35115,0.509
35121,0.604
35122,0.571
35123,0.558
35124,0.502
35125,0.467
35131,0.593
35132,0.56
35133,0.547
35134,0.491
35135,0.456
35141,0.48
35142,0.447
35143,0.434
35144,0.378
35145,0.343
35151,0.439
35152,0.406
35153,0.393
35154,0.337
35155,0.302
35211,0.625
35212,0.592
35213,0.579
35214,0.523
35215,0.488
35221,0.583
35222,0.55
35223,0.537
35224,0.481
35225,0.446
35231,0.572
35232,0.539
35233,0.526
35234,0.47
35235,0.435
35241,0.459
35242,0.426
35243,0.413
35244,0.357
35245,0.322
35251,0.418
35252,0.385
35253,0.372
35254,0.316
35255,0.281
35311,0.595
35312,0.562
35313,0.549
35314,0.493
35315,0.458
35321,0.553
35322,0.52
35323,0.507
35324,0.451
35325,0.416
35331,0.542
35332,0.509
35333,0.496
35334,0.44
35335,0.405
35341,0.429
35342,0.396
35343,0.383
35344,0.327
35345,0.292
35351,0.388
35352,0.355
35353,0.342
35354,0.286
35355,0.251
35411,0.546
35412,0.513
35413,0.5
35414,0.444
35415,0.409
35421,0.504
35422,0.471
35423,0.458
35424,0.402
35425,0.367
35431,0.493
35432,0.46
35433,0.447
35434,0.391
35435,0.356
35441,0.38
35442,0.347
35443,0.334
35444,0.278
35445,0.243
35451,0.339
